GroupingID,CurrencyID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,ComponentID,SystemComponentID,SystemComponentID
ID,2,1,2,3,4,5,6,7,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,1,2,32,33,3,3
VariableName,To_AUD,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,AnnualMultiplier,BaselineCost,BaselineCost,BaselineCost,BaselineCost,UsageAnnualMultiplier,Usage
Iteration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.35,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,0.18,4551.0,750.0,0.18,1.0,1769.0
1,1.405638521707272,0.8141996137943832,1.0050185114604966,0.9992304616454334,0.9924487681318931,1.002124555802681,0.9974185250979287,0.8965131137456281,0.9922480711099336,1.0065313643363283,0.9873889480376925,1.0029950961908625,0.9845755161912771,1.0090788255941388,1.003156587821115,0.9979193076204597,0.991890831983697,1.0003697431282155,0.9902697436683651,0.999617484494992,0.9918146607069065,0.9988324855228241,0.823354155046403,0.9886791585845204,1.0083940017471298,1.0031377946456816,0.18480017159001555,4864.7783296898715,350.09046486859893,0.18399502484180608,1.0,1772.3216036927095
2,1.4359449994262954,0.8448078239190058,0.9916691275244431,1.0032556997232378,1.0031370891432665,0.9879892682322746,1.0045083610713321,0.8196498000285514,0.9953815727965937,1.0119879811209807,0.9950209487782016,0.9910617873796188,1.009553071065208,1.0083038585276167,1.0155337896557899,0.9974846977349853,1.0119740752941226,1.0100262094332972,1.0003240412247703,1.0028214593523066,1.0093174004280074,1.0091856358104514,0.829372303565114,1.004978792329427,1.0111991131341111,0.9904172314140658,0.18034471916411027,4870.411233792315,400.7072203677811,0.18456434823410503,1.0,1761.463174730063
3,1.3109492969307877,0.8321343450739542,1.0122104843063344,1.0013351088597613,0.9937714029041046,1.0058845115362147,1.0044389271483198,0.8167895504011359,1.0111952709968992,0.9988632989806501,0.9993749061106738,0.9986166834826448,0.9955505290441009,0.9919623204776784,1.0056755947171536,1.000735569048291,1.0050202110197994,1.0051542978715453,1.0025909754410935,1.0007639951666085,1.0058969760012841,0.998001366142703,0.8239476640122749,1.0055532627468597,0.9977035241710026,1.0101661254947836,0.18110368564987012,4558.506167460982,482.5563958580591,0.1917082879833972,0.9078600304322468,1770.2360428824159
4,1.3620186550242552,0.7972545225347715,0.9934153845667276,1.0003885933594368,0.9981019609448215,1.008928690871726,1.0068922679129269,0.8998471101177414,1.001465017795323,1.0162821225767205,0.9929411106817952,1.003667749522508,0.9974806554449436,0.9994976167587566,0.9933679930550701,1.0019439081037547,0.9927863436943516,1.0029406658890017,1.009198791228373,1.0145860780071723,1.0027124771661797,0.9987257848480416,0.8535891608805463,1.0040793508934223,0.991398645698761,1.0105582100741974,0.18588736591248195,4576.3771606073105,811.8933694900553,0.18068086989652726,1.0,1762.96490067196
5,1.4745681528262322,0.8115206973154842,1.000151496217823,0.9933183564870179,0.9794773801227684,1.0046731224950056,0.9954868341218728,0.8646485020383139,1.0062191495366721,0.9941235297842196,1.0021027191416711,1.0022466816209072,1.005648763634549,1.0036969617779354,1.0109197052240422,1.0009846925939452,1.0116327456545795,0.9944740889536937,0.990752309329782,0.9996779594688887,1.0029619151077682,0.9964449286941313,0.830245009506865,1.013627907119906,0.9953529020952749,0.9847510338162302,0.19325388083923165,4762.304876630124,727.631673531863,0.18140401236170417,1.0,1762.2875275488548
6,1.3709004746888471,0.8287570347322756,1.01460382318654,1.0066866931887153,1.0013654380277064,1.0170323808466728,1.0029909272174966,0.842004723478168,0.9940087024473662,1.0060025693389507,0.9949931096858773,0.9982549111293992,1.007953857878359,1.0035690787063907,0.9881408392506293,0.9903071201836646,1.0027624201520697,1.0110892795967976,1.0081502819387886,0.9856820370267648,0.9994629457351631,0.9824168160020527,0.8275639563435861,1.0031874178598192,0.9843426660739415,1.015216915910795,0.18659659317761998,4498.671043136274,665.9162904679139,0.1922594169413552,1.0,1763.9632788630915
7,1.327537561230072,0.8664378368756497,1.012039162009426,1.0091178051987217,1.00439567544011,0.9861651283365802,0.9993590318991996,0.8874208197532845,0.9913845394126141,1.0065929997720775,1.0006712101711048,1.0020051474442975,1.0002229325373058,1.000950250282389,0.9990944075240943,0.9957816574536361,0.9915231109744506,0.9981997142018606,1.0034807814292692,1.0057397116507734,1.0008444621604091,0.9905924703705064,0.8269900777118532,0.9963137131738229,1.001054175334213,1.0114593503687128,0.18944984169768914,4190.645685277908,741.7992793139163,0.18530394465402492,0.9330469507071707,1769.2459377940213
